Accession	Type	Target	Description	Lab	link
ENCSR000AQA	immortalized cell line	KDM5B	ChIP-seq on human K562 KDM5B	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQA
ENCSR000AQB	immortalized cell line	EP300	ChIP-seq on human K562 EP300	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQB
ENCSR000AQC	stem cell	RBBP5	ChIP-seq on human H1-hESC RBBP5	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQC
ENCSR000AQD	immortalized cell line	CHD1	ChIP-seq on human K562 CHD1	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQD
ENCSR000AQE	immortalized cell line	EZH2	ChIP-seq on human K562 EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQE
ENCSR000AQF	immortalized cell line	HDAC1	ChIP-seq on human K562 HDAC1	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQF
ENCSR000AQG	immortalized cell line	HDAC2	ChIP-seq on human K562 HDAC2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQG
ENCSR000AQH	immortalized cell line	PHF8	ChIP-seq on human K562 PHF8	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQH
ENCSR000AQI	immortalized cell line	RBBP5	ChIP-seq on human K562 RBBP5	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQI
ENCSR000AQJ	immortalized cell line	SAP30	ChIP-seq on human K562 SAP30	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQJ
ENCSR000AQK	stem cell	CHD1	ChIP-seq on human H1-hESC CHD1	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQK
ENCSR000AQL	stem cell	KDM5A	ChIP-seq on human H1-hESC KDM5A	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQL
ENCSR000AQU	immortalized cell line	CTCF	ChIP-seq on human Dnd41 CTCF	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AQU
ENCSR000ARD	immortalized cell line	EZH2	ChIP-seq on human GM12878 EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARD
ENCSR000ARE	primary cell	EZH2	ChIP-seq on human HMEC EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARE
ENCSR000ARH	primary cell	EZH2	ChIP-seq on human HSMM EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARH
ENCSR000ARI	immortalized cell line	EZH2	ChIP-seq on human HepG2 EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARI
ENCSR000ARK	primary cell	EZH2	ChIP-seq on human NHEK EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARK
ENCSR000ARO	primary cell	EZH2	ChIP-seq on human NHLF EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARO
ENCSR000ARR	primary cell	EZH2	ChIP-seq on human NH-A EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ARR
ENCSR000ASE	primary cell	EZH2	ChIP-seq on human NHDF-Ad EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ASE
ENCSR000ASW	immortalized cell line	EZH2	ChIP-seq on human Dnd41 EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ASW
ENCSR000ASY	stem cell	EZH2	ChIP-seq on human H1-hESC EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ASY
ENCSR000ASZ	in vitro differentiated cells	EZH2	ChIP-seq on human HSMMtube EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ASZ
ENCSR000ATA	primary cell	EZH2	ChIP-seq on human HUVEC EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ATA
ENCSR000ATC	immortalized cell line	EZH2	ChIP-seq on human HeLa-S3 EZH2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ATC
ENCSR000ATJ	immortalized cell line	HDAC6	ChIP-seq on human K562 HDAC6	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ATJ
ENCSR000BGA	immortalized cell line	FOXP2	FOXP2 ChIP-seq protocol PCR2x on human PFSK-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGA
ENCSR000BGB	immortalized cell line	FOXP2	FOXP2 ChIP-seq protocol PCR2x on human SK-N-MC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGB
ENCSR000BGC	immortalized cell line	GABPA	GABPA ChIP-seq protocol PCR2x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGC
ENCSR000BGD	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol PCR2x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGD
ENCSR000BGE	immortalized cell line	SRF	SRF ChIP-seq protocol PCR2x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGE
ENCSR000BGI	immortalized cell line	USF1	USF1 ChIP-seq protocol PCR2x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGI
ENCSR000BGK	immortalized cell line	JUND	JUND ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGK
ENCSR000BGL	immortalized cell line	SIN3A	SIN3A ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGL
ENCSR000BGM	immortalized cell line	USF1	USF1 ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGM
ENCSR000BGO	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol PCR1x on human HeLa-S3	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGO
ENCSR000BGP	immortalized cell line	POU2F2	POU2F2 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGP
ENCSR000BGQ	immortalized cell line	SPI1	SPI1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGQ
ENCSR000BGR	immortalized cell line	PBX3	PBX3 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGR
ENCSR000BGS	immortalized cell line	TAF1	TAF1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGS
ENCSR000BGT	immortalized cell line	BATF	BATF ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGT
ENCSR000BGU	immortalized cell line	EBF1	EBF1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGU
ENCSR000BGW	immortalized cell line	SPI1	SPI1 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGW
ENCSR000BGX	immortalized cell line	SIX5	SIX5 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGX
ENCSR000BGY	immortalized cell line	IRF4	IRF4 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGY
ENCSR000BGZ	immortalized cell line	TCF12	TCF12 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BGZ
ENCSR000BHA	immortalized cell line	CUX1	BCL11A ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHA
ENCSR000BHB	immortalized cell line	EP300	EP300 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHB
ENCSR000BHC	immortalized cell line	ZBTB33	ZBTB33 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHC
ENCSR000BHD	immortalized cell line	PAX5	PAX5 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHD
ENCSR000BHE	immortalized cell line	NR3C1	NR3C1 ChIP-seq (protocol PCR1x) on A549 treated with dexamethasone at 500pM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHE
ENCSR000BHF	immortalized cell line	NR3C1	NR3C1 ChIP-seq (protocol PCR1x) on A549 treated with dexamethasone at 50pM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHF
ENCSR000BHG	immortalized cell line	NR3C1	NR3C1 ChIP-seq (protocol PCR1x) on A549 treated with dexamethasone at 5nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHG
ENCSR000BHH	immortalized cell line	POLR2A	POLR2A ChIP-seq (protocol PCR2x) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHH
ENCSR000BHI	immortalized cell line	POLR2A	PLOR2A ChIP-seq (protocol PCR2x) on A549 treated with dexamethasone at 100pM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHI
ENCSR000BHJ	immortalized cell line	PAX5	PAX5 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHJ
ENCSR000BHK	immortalized cell line	SP1	SP1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHK
ENCSR000BHM	stem cell	REST	REST ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHM
ENCSR000BHN	stem cell	POLR2A	POLR2A ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHN
ENCSR000BHO	stem cell	TAF1	TAF1 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHO
ENCSR000BHP	immortalized cell line	FOSL2	FOSL2 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHP
ENCSR000BHR	immortalized cell line	ZBTB33	ZBTB33 ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHR
ENCSR000BHS	immortalized cell line	GABPA	GABPA ChIP-seq protocol PCR1x on human HeLa-S3	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHS
ENCSR000BHT	immortalized cell line	TAF1	TAF1 ChIP-seq protocol PCR1x on human HeLa-S3	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHT
ENCSR000BHU	immortalized cell line	RXRA	RXRA ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHU
ENCSR000BHV	immortalized cell line	CTCF	CTCF ChIP-seq (protocol PCR2x) on A549 treated with dexamethasone at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHV
ENCSR000BHW	immortalized cell line	CTCF	CTCF ChIP-seq (protocol PCR1x) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHW
ENCSR000BHX	immortalized cell line	USF1	USF1 ChIP-seq (protocol PCR1x) on A549 treated with dexamethasone at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHX
ENCSR000BHZ	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol v041610.2 on human GM12892	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BHZ
ENCSR000BIA	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.2 on human GM12892	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIA
ENCSR000BIB	immortalized cell line	TAF1	TAF1 ChIP-seq protocol v041610.2 on human GM12892	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIB
ENCSR000BIC	stem cell	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIC
ENCSR000BID	immortalized cell line	BHLHE40	BHLHE40 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BID
ENCSR000BIE	immortalized cell line	CTCF	CTCF ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIE
ENCSR000BIF	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIF
ENCSR000BII	immortalized cell line	POU2F2	POU2F2 ChIP-seq protocol PCR1x on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BII
ENCSR000BIJ	immortalized cell line	SPI1	SPI1 ChIP-seq protocol PCR1x on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIJ
ENCSR000BIK	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol PCR1x on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIK
ENCSR000BIL	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol PCR1x on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIL
ENCSR000BIM	immortalized cell line	TAF1	TAF1 ChIP-seq protocol PCR1x on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIM
ENCSR000BIP	stem cell	CUX1	BCL11A ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIP
ENCSR000BIQ	stem cell	SIX5	SIX5 ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIQ
ENCSR000BIR	stem cell	SP1	SP1 ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIR
ENCSR000BIS	stem cell	SIN3A	SIN3A ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIS
ENCSR000BIT	stem cell	TCF12	TCF12 ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIT
ENCSR000BIU	stem cell	USF1	USF1 ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIU
ENCSR000BIV	stem cell	SRF	SRF ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIV
ENCSR000BIW	stem cell	GABPA	GABPA ChIP-seq protocol PCR1x on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIW
ENCSR000BIY	immortalized cell line	ESR1	ESR1 ChIP-seq (protocol v041610.2) on ECC-1 treated with estradiol at 10nM. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BIY
ENCSR000BJA	stem cell	EGR1	EGR1 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJA
ENCSR000BJB	immortalized cell line	USF1	USF1 ChIP-seq (protocol PCR1x) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJB
ENCSR000BJC	immortalized cell line	NR3C1	NR3C1 ChIP-seq (protocol v041610.2) on ECC-1 treated with dexamethasone at 100 nM. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJC
ENCSR000BJD	immortalized cell line	RXRA	RXRA ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJD
ENCSR000BJE	immortalized cell line	SIX5	SIX5 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJE
ENCSR000BJG	immortalized cell line	TCF12	TCF12 ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJG
ENCSR000BJH	immortalized cell line	PAX5	PAX5 ChIP-seq protocol v041610.1 on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJH
ENCSR000BJI	immortalized cell line	PAX5	PAX5 ChIP-seq protocol v041610.1 on human GM12892	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJI
ENCSR000BJJ	immortalized cell line	REST	REST ChIP-seq protocol PCR2x on human SK-N-SH	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJJ
ENCSR000BJK	immortalized cell line	GABPA	GABPA ChIP-seq protocol PCR2x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJK
ENCSR000BJL	immortalized cell line	REST	REST ChIP-seq protocol PCR2x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJL
ENCSR000BJM	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol PCR2x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJM
ENCSR000BJN	immortalized cell line	TAF1	TAF1 ChIP-seq protocol PCR2x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJN
ENCSR000BJO	immortalized cell line	REST	REST ChIP-seq protocol PCR2x on human PANC-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJO
ENCSR000BJP	immortalized cell line	REST	REST ChIP-seq protocol PCR2x on human PFSK-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJP
ENCSR000BJQ	immortalized cell line	REST	REST ChIP-seq protocol PCR2x on human U87	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJQ
ENCSR000BJR	immortalized cell line	NR3C1	NR3C1 ChIP-seq (protocol PCR2x) on A549 treated with dexamethasone at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJR
ENCSR000BJS	immortalized cell line	ESR1	ESR1 ChIP-seq (protocol v041610.2) on T-47D treated with genistein at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJS
ENCSR000BJW	stem cell	RXRA	RXRA ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJW
ENCSR000BJX	immortalized cell line	SP1	SP1 ChIP-seq protocol PCR1x on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJX
ENCSR000BJY	immortalized cell line	ATF3	ATF3 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJY
ENCSR000BJZ	immortalized cell line	BCLAF1	BCLAF1 ChIP-seq protocol v041610.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BJZ
ENCSR000BKA	immortalized cell line	ETS1	ETS1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKA
ENCSR000BKB	immortalized cell line	MEF2A	MEF2A ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKB
ENCSR000BKC	stem cell	ATF3	ATF3 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKC
ENCSR000BKD	stem cell	YY1	YY1 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKD
ENCSR000BKE	immortalized cell line	ATF3	ATF3 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKE
ENCSR000BKF	immortalized cell line	ZBTB33	ZBTB33 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKF
ENCSR000BKG	immortalized cell line	BCL3	BCL3 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKG
ENCSR000BKH	immortalized cell line	BCLAF1	BCLAF1 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKH
ENCSR000BKI	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol v041610.2 on human ECC-1 treated with 0.02% DMSO. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKI
ENCSR000BKJ	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.1 on human GM12891	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKJ
ENCSR000BKK	stem cell	EP300	EP300 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKK
ENCSR000BKL	immortalized cell line	ESR1	ESR1 ChIP-seq protocol v041610.2 on human ECC-1 treated with 100 nM Genistein. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKL
ENCSR000BKM	immortalized cell line	GATA2	GATA2 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKM
ENCSR000BKN	immortalized cell line	ESR1	ESR1 ChIP-seq protocol v041610.2 on human T-47D treated with 10 nM estradiol	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKN
ENCSR000BKO	immortalized cell line	SP1	SP1 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKO
ENCSR000BKP	stem cell	JUND	JUND ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKP
ENCSR000BKQ	immortalized cell line	ETS1	ETS1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKQ
ENCSR000BKR	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKR
ENCSR000BKS	immortalized cell line	TAF1	TAF1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKS
ENCSR000BKT	immortalized cell line	USF1	USF1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKT
ENCSR000BKU	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKU
ENCSR000BKV	immortalized cell line	RAD21	RAD21 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKV
ENCSR000BKW	immortalized cell line	FOXA1	FOXA1 ChIP-seq protocol v041610.2 on human ECC-1 treated with 0.02% DMSO. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKW
ENCSR000BKY	immortalized cell line	FOXA1	FOXA1 ChIP-seq protocol v041610.2 on human T-47D treated with 0.02% DMSO	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BKY
ENCSR000BLD	stem cell	RAD21	RAD21 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLD
